number_of_features,cross_validation_score
749,0.9840730287732796
750,0.9840770609056448
751,0.9840828083776414
752,0.9840765752468975
753,0.9840638156188104
754,0.9840698728559362
755,0.9840640812088601
756,0.9840867558220205
757,0.984084499246285
758,0.984047038603947
759,0.9840387745029238
760,0.9840653187107963
761,0.984070697749007
762,0.9840801053782933
763,0.9840618466266928
764,0.9840931085723789
765,0.9840815338160418
766,0.9840813958031575
767,0.9841081158822158
768,0.9841086364983858
769,0.9840909317206844
770,0.98412340186151
771,0.9841082952702107
772,0.9841304340286197
773,0.9841211370377916
774,0.9841148271155404
775,0.9840842160169819
776,0.9840812378238786
777,0.9841120756582935
778,0.9840981699230877
779,0.9841111517965071
780,0.9840860270830865
781,0.984108694554642
782,0.9840779259916361
783,0.9841036149328557
784,0.9840857543877917
785,0.9840968241768362
786,0.9840646359349213
787,0.9841078966919058
788,0.984106621461408
789,0.9840930858344965
790,0.9841005877271327
791,0.9841172111135764
792,0.9840734540958049
793,0.9841077406275144
794,0.9841024015195841
795,0.9841166571937683
796,0.9840922086404543
797,0.984121430039745
798,0.9841074663051501
799,0.9841230740492468
800,0.9841212435869666
801,0.984146403951811
802,0.9841458608837066
803,0.9841280949054869
804,0.9841320166160372
805,0.9841220330795168
806,0.984133191017016
807,0.9841366109671379
808,0.9841355930542717
809,0.9841569915509453
810,0.984125928275758
811,0.984155169177724
812,0.9841308045343563
813,0.9841529443401529
814,0.9841466513449639
815,0.9841359973547608
816,0.9841552837606725
817,0.9841481318308947
818,0.9841196639334422
819,0.9841314925248872
820,0.98411311205409
821,0.9841446107276068
822,0.9841233973896678
823,0.9841164692396376
824,0.9841169765241204
825,0.9841298530628733
826,0.9841195663294602
827,0.9841380204091402
828,0.9841384337961149
829,0.9841264094702437
830,0.9841128548750412
831,0.9841074572258748
832,0.984127087149161
833,0.9841271559104492
834,0.9841089429355192
835,0.984126434471591
836,0.9841495885735739
837,0.9841207882573324
838,0.9841555448698281
839,0.9841369787226399
840,0.9841232061220733
841,0.9841417027047484
842,0.9841232012420396
843,0.9841417473883531
844,0.9841376470671627
845,0.9841082717020884
846,0.984108372675751
847,0.9841240251198128
848,0.9841050227957148
849,0.984122395072459
850,0.9841411349592425
